Region/Country/Economy,"Total CO2 emissions from fuel combustion",Electricity and heat production,"Other energy industries**","Manuf. industries and construction",Transport,of which: road,Other sectors,of which: residential
Dem. Rep. of Congo,  44,-,-,  16,  10,  10,  18,  5
Côte d'Ivoire,  314,  126,  11,  29,  76,  63,  71,  26
Egypt, 2 135,  739,  180,  500,  467,  430,  249,  173
Eritrea,  91,  38,-,  4,  22,  22,  26,  11
Ethiopia,  85,  6,-,  21,  48,  48,  11,  11
Gabon, 2 060,  565,  24,  802,  433,  433,  236,  106
Ghana,  314,  77,  6,  48,  156,  144,  27,  15
Kenya,  224,  60,  12,  35,  83,  79,  33,  22
Libyan Arab Jamahiriya, 7 145, 4 043,  396,  674, 1 628, 1 627,  403,  403
Morocco, 1 348,  479,  22,  229,  346,  346,  272,  127
Mozambique,  89,-,  1,  18,  62,  57,  8,  4
Namibia, 1 861,  420,-,  123,  904,  809,  414,-
Nigeria,  346,  56,  70,  35,  168,  167,  17,  17
Senegal,  415,  116,  2,  72,  192,  173,  34,  30
South Africa, 6 930, 4 382,  90,  933,  941,  869,  584,  332
Sudan,  292,  67,  12,  29,  162,  161,  21,  17
United Rep. of Tanzania,  136,  25,-,  18,  77,  77,  16,  14
Togo,  171,  4,-,  13,  133,  133,  21,  21
Tunisia, 2 009,  774,  20,  356,  465,  453,  393,  181
Zambia,  126,  2,  3,  62,  41,  28,  18,-
Zimbabwe,  704,  397,  4,  113,  88,  81,  103,  7
Other Africa,  165,  43,-,  27,  67,  58,  29,  11
Africa,  904,  391,  46,  143,  215,  201,  110,  74
Bahrain, 29 077, 10 124, 5 636, 9 045, 3 997, 3 952,  275,  275
Islamic Rep. of Iran, 7 018, 1 734,  303, 1 574, 1 532, 1 532, 1 875, 1 388
Iraq, 3 451, 1 058,  171,  830, 1 072, 1 072,  320,  320
Israel, 8 634, 5 351,  399,  239, 1 413, 1 413, 1 232,  379
Jordan, 3 118, 1 380,  118,  438,  772,  766,  410,  251
Kuwait, 25 474, 11 641, 5 729, 3 976, 3 940, 3 940,  188,  188
Lebanon, 3 680, 1 811,-,  423, 1 049, 1 049,  397,  397
Oman, 12 539, 4 842, 2 274, 2 899, 1 920, 1 920,  603,  158
Qatar, 42 086, 9 009, 12 926, 13 238, 6 729, 6 729,  184,  184
Saudi Arabia, 15 790, 6 249, 1 869, 3 615, 3 894, 3 814,  164,  164
Syrian Arab Republic, 2 565, 1 184,  95,  537,  568,  549,  181,  74
United Arab Emirates, 32 771, 16 199,  454, 9 751, 5 610, 5 610,  758,  758
Yemen,  951,  181,  146,  107,  258,  258,  260,  89
Middle East, 7 518, 2 669,  638, 1 674, 1 645, 1 633,  891,  641
Albania, 1 227,  17,  49,  197,  732,  648,  233,  76
Bosnia and Herzegovina, 5 181, 3 563,  39,  345,  737,  725,  497,  28
Bulgaria, 6 399, 3 939,  173,  968, 1 083,  986,  236,  121
Croatia, 4 720, 1 196,  365, 1 001, 1 391, 1 285,  767,  454
Cyprus, 9 486, 4 828,-, 1 428, 2 468, 2 464,  762,  359
Gibraltar, 17 335, 4 486,-, 2 233, 10 616, 10 616,-,-
FYR of Macedonia, 4 399, 2 990,  2,  624,  583,  571,  200,  69
Malta, 6 225, 4 774,-,-, 1 297, 1 297,  154,  154
Romania, 4 180, 1 800,  308,  931,  694,  634,  447,  281
Serbia, 6 695, 4 224,  14, 1 133,  878,  758,  445,  276
Slovenia, 8 272, 3 088,  4, 1 198, 2 937, 2 917, 1 045,  587
Former Yugoslavia (if no detail),x,x,x,x,x,x,x,x
Non-OECD Europe, 5 054, 2 576,  188,  885,  957,  886,  450,  245
Armenia, 1 708,  336,-,  645,  270,  270,  458,-
Azerbaijan, 3 374, 1 447,  248,  249,  603,  555,  826,  732
Belarus, 6 631, 3 357,  151, 1 317,  678,  451, 1 128,  786
Estonia, 13 137, 9 849,  108, 1 078, 1 695, 1 615,  408,  142
Georgia, 1 079,  167,  43,  167,  406,  390,  295,  160
Kazakhstan, 12 863, 5 331,  766, 2 866,  906,  799, 2 994,  38
Kyrgyzstan, 1 122,  259,-,  319,  271,  271,  273,-
Latvia, 3 493,  903,-,  482, 1 566, 1 437,  542,  189
Lithuania, 4 241,  893,  603,  900, 1 487, 1 384,  359,  190
Republic of Moldova, 1 946,  927,-,  191,  285,  253,  542,  373
Russian Federation, 11 241, 6 164,  522, 1 619, 1 716,  931, 1 220,  892
Tajikistan,  444,  77,-,-,  41,  41,  325,-
Turkmenistan, 9 406, 2 697, 1 383,-,  551,  551, 4 774,-
Ukraine, 6 692, 2 851,  172, 1 969,  701,  519,  999,  855
Uzbekistan, 4 207, 1 248,  152,  800,  329,  180, 1 678, 1 285
Former Soviet Union (if no detail),x,x,x,x,x,x,x,x
Former Soviet Union, 8 527, 4 243,  390, 1 451, 1 159,  705, 1 284,  769
Argentina, 4 358, 1 114,  408,  970, 1 071,  999,  795,  484
Bolivia, 1 329,  320,  141,  229,  478,  430,  160,  133
Brazil, 1 899,  215,  145,  564,  779,  701,  196,  85
Chile, 4 354, 1 466,  231,  833, 1 528, 1 032,  297,  192
Colombia, 1 348,  135,  117,  427,  519,  499,  151,  95
Costa Rica, 1 455,  133,  16,  251,  952,  949,  104,  28
Cuba, 2 713, 1 434,  12,  767,  81,  80,  419,  87
Dominican Republic, 1 988,  982,  13,  126,  578,  429,  289,  258
Ecuador, 1 921,  362,  36,  335,  945,  855,  243,  214
El Salvador,  949,  245,  8,  223,  389,  389,  84,  83
Guatemala,  776,  214,-,  120,  398,  397,  44,  43
Haiti,  239,  24,-,  54,  137,  71,  24,  24
Honduras, 1 077,  369,-,  213,  406,  406,  88,  22
Jamaica, 4 444, 2 271,  2,  150,  960,  584, 1 061,  75
Netherlands Antilles, 22 915, 4 523, 7 527, 3 591, 6 360, 6 360,  913,  913
Nicaragua,  729,  282,  10,  108,  258,  236,  71,  16
Panama, 1 924,  517,-,  364,  915,  425,  128,  83
Paraguay,  591,-,-,  17,  544,  536,  29,  29
Peru, 1 209,  253,  71,  321,  457,  446,  107,  62
Trinidad and Tobago, 28 373, 4 051, 6 143, 16 053, 1 728, 1 728,  399,  399
Uruguay, 2 286,  807,  101,  262,  783,  780,  332,  117
Venezuela, 5 214,  865, 1 030, 1 459, 1 618, 1 607,  244,  202
Other Latin America, 4 924, 2 216,  3,  395, 1 479, 1 314,  830,  350
Latin America, 2 312,  467,  209,  605,  783,  707,  248,  136
Bangladesh,  290,  125,  1,  71,  41,  32,  51,  32
Brunei Darussalam, 18 873, 6 505, 3 797, 5 156, 2 823, 2 823,  592,  285
Cambodia,  313,  115,-,  11,  78,  78,  108,  83
Chinese Taipei, 11 530, 6 663,  679, 2 232, 1 511, 1 456,  446,  209
India, 1 252,  705,  44,  245,  116,  106,  142,  66
Indonesia, 1 688,  475,  161,  574,  333,  302,  145,  91
DPR of Korea, 2 907,  468,  2, 1 828,  51,  51,  558,  4
Malaysia, 6 701, 2 367,  956, 1 619, 1 561, 1 536,  197,  99
Mongolia, 4 331, 2 698,  15,  571,  591,  454,  456,  221
Myanmar,  238,  38,  11,  61,  67,  65,  61,  6
Nepal,  117,-,-,  39,  32,  32,  44,  28
Pakistan,  806,  249,  12,  261,  190,  184,  94,  74
Philippines,  801,  328,  25,  144,  250,  225,  54,  28
Singapore, 9 158, 4 578, 1 964, 1 090, 1 483, 1 483,  43,  43
Sri Lanka,  606,  193,  8,  65,  292,  259,  49,  17
Thailand, 3 405, 1 158,  242,  995,  759,  752,  252,  94
Vietnam, 1 194,  350,-,  419,  293,  269,  133,  72
Other Asia,  302,  118,-,  63,  73,  50,  47,  9
Asia, 1 385,  634,  74,  338,  205,  192,  134,  64
People's Rep. of China, 4 910, 2 345,  203, 1 635,  341,  249,  385,  215
"Hong Kong, China", 6 055, 4 124,-,  950,  616,  616,  364,  118
China, 4 916, 2 354,  202, 1 632,  343,  251,  385,  215
European Union - 27, 7 719, 2 826,  359, 1 224, 1 890, 1 764, 1 420,  904
